SchoolKey,SchoolName,SchoolPostcode,SchoolMapLabel,LocalAuthority,Postcode_area,Postcode_district,Latitude,Longitude,CatchmentGeoJsonUrl,FallbackGeoJsonUrl,FallbackGeoJsonFilename,HasRealCatchmentGeoJson,HasFallbackGeoJson
Millburn Academy|IV2 3QR,Millburn Academy,IV2 3QR,Millburn Academy (Highland),Highland,IV,IV2,57.4801468,-4.2091226,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_millburn_academy_5142830.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_millburn_academy_iv2_3qr.geojson,fallback_millburn_academy_iv2_3qr.geojson,True,True
Milne's High School|IV32 7DJ,Milne's High School,IV32 7DJ,Milne's High School (Moray),Moray,IV,IV32,57.609798,-3.1003007,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_moray_milne_s_high_school_5202930.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_milne_s_high_school_iv32_7dj.geojson,fallback_milne_s_high_school_iv32_7dj.geojson,True,True
Mintlaw Academy|AB42 5FN,Mintlaw Academy,AB42 5FN,Mintlaw Academy (Aberdeenshire),Aberdeenshire,AB,AB42,57.5245675,-2.0132712,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_mintlaw_academy_5222133.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_mintlaw_academy_ab42_5fn.geojson,fallback_mintlaw_academy_ab42_5fn.geojson,True,True
Moffat Academy|DG10 9QL,Moffat Academy,DG10 9QL,Moffat Academy (Dumfries and Galloway),Dumfries and Galloway,DG,DG10,55.3290453,-3.4378769,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dumfries_and_galloway_moffat_academy_5948738.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_moffat_academy_dg10_9ql.geojson,fallback_moffat_academy_dg10_9ql.geojson,True,True
Monifieth High School|DD5 4QT,Monifieth High School,DD5 4QT,Monifieth High School (Angus),Angus,DD,DD5,56.4790489,-2.8399514,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_angus_monifieth_high_school_5339537.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_monifieth_high_school_dd5_4qt.geojson,fallback_monifieth_high_school_dd5_4qt.geojson,True,True
Montrose Academy|DD10 8HU,Montrose Academy,DD10 8HU,Montrose Academy (Angus),Angus,DD,DD10,56.709366,-2.4640994,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_angus_montrose_academy_5308038.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_montrose_academy_dd10_8hu.geojson,fallback_montrose_academy_dd10_8hu.geojson,True,True
Morgan Academy|DD4 7AX,Morgan Academy,DD4 7AX,Morgan Academy (Dundee City),Dundee City,DD,DD4,56.474721,-2.9540442,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dundee_city_morgan_academy_5330432.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_morgan_academy_dd4_7ax.geojson,fallback_morgan_academy_dd4_7ax.geojson,True,True
Musselburgh Grammar School|EH21 7BA,Musselburgh Grammar School,EH21 7BA,Musselburgh Grammar School (East Lothian),East Lothian,EH,EH21,55.9386591,-3.0505806,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_lothian_musselburgh_grammar_wef_aug_23_138.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_musselburgh_grammar_school_eh21_7ba.geojson,fallback_musselburgh_grammar_school_eh21_7ba.geojson,True,True
Nairn Academy|IV12 4RD,Nairn Academy,IV12 4RD,Nairn Academy (Highland),Highland,IV,IV12,57.5772294,-3.8827836,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_nairn_academy_5153131.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_nairn_academy_iv12_4rd.geojson,fallback_nairn_academy_iv12_4rd.geojson,True,True
Newbattle High School|EH22 4SX,Newbattle High School,EH22 4SX,Newbattle High School (Midlothian),Midlothian,EH,EH22,55.8744457,-3.0486772,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_midlothian_newbattle_high_school_5546036.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_newbattle_high_school_eh22_4sx.geojson,fallback_newbattle_high_school_eh22_4sx.geojson,True,True
