matched_school_key,school_name,school_postcode,local_authority,combined_geojson_filename,combined_geojson_url,feature_count,row_geojson_urls
Queen Margaret Academy|KA7 3TL,Queen Margaret Academy,KA7 3TL,South Ayrshire,scotland_sd_combined_south_ayrshire_queen_margaret_academy_ka7_3tl.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_south_ayrshire_queen_margaret_academy_ka7_3tl.geojson,2,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_south_ayrshire_queen_margaret_academy_x_8236232.geojson | https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_south_ayrshire_queen_margaret_academy_8236232.geojson
St Roch's Secondary School|G21 2NF,St Roch's Secondary School,G21 2NF,Glasgow City,scotland_sd_combined_glasgow_city_st_roch_s_secondary_school_g21_2nf.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_glasgow_city_st_roch_s_secondary_school_g21_2nf.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_st_roch_s_secondary_school_8438730.geojson
St Stephen's High School|PA14 6PP,St Stephen's High School,PA14 6PP,Inverclyde,scotland_sd_combined_inverclyde_st_stephen_s_high_school_pa14_6pp.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_inverclyde_st_stephen_s_high_school_pa14_6pp.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_inverclyde_st_stephen_s_high_school_8645639.geojson
John Paul Academy|G23 5LY,John Paul Academy,G23 5LY,Glasgow City,scotland_sd_combined_glasgow_city_john_paul_academy_g23_5ly.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_glasgow_city_john_paul_academy_g23_5ly.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_john_paul_academy_8458731.geojson
St John's RC Academy|PH1 5BF,St John's RC Academy,PH1 5BF,Perth and Kinross,scotland_sd_combined_perth_and_kinross_st_john_s_rc_academy_ph1_5bf.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_perth_and_kinross_st_john_s_rc_academy_ph1_5bf.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_perth_and_kinross_st_john_s_rc_academy_5350239.geojson
St John Ogilvie High School|ML3 9LA,St John Ogilvie High School,ML3 9LA,South Lanarkshire,scotland_sd_combined_south_lanarkshire_st_john_ogilvie_high_school_ml3_9la.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_south_lanarkshire_st_john_ogilvie_high_school_ml3_9la.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_south_lanarkshire_john_ogilvie_high_school_40.geojson
St Andrew's Secondary School|G32 6QE,St Andrew's Secondary School,G32 6QE,Glasgow City,scotland_sd_combined_glasgow_city_st_andrew_s_secondary_school_g32_6qe.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_glasgow_city_st_andrew_s_secondary_school_g32_6qe.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_st_andrew_s_secondary_school_8437238.geojson
Sinclair Academy|EH52 6FY,Sinclair Academy,EH52 6FY,West Lothian,scotland_sd_combined_west_lothian_sinclair_academy_eh52_6fy.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_west_lothian_sinclair_academy_eh52_6fy.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_west_lothian_sinclair_academy_1006096.geojson
Holyrood Secondary School|G42 8AU,Holyrood Secondary School,G42 8AU,Glasgow City,scotland_sd_combined_glasgow_city_holyrood_secondary_school_g42_8au.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_glasgow_city_holyrood_secondary_school_g42_8au.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_holyrood_secondary_school_8434530.geojson
St Mungo's RC High School|FK2 7JT,St Mungo's RC High School,FK2 7JT,Falkirk,scotland_sd_combined_falkirk_st_mungo_s_rc_high_school_fk2_7jt.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_falkirk_st_mungo_s_rc_high_school_fk2_7jt.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_falkirk_st_mungo_s_rc_high_school_5746434.geojson
