geojson_filename,geojson_url,source_school_nam,source_local_auth,source_seed_code,matched_school_key,matched_method
scotland_sn_south_ayrshire_marr_college_8237832.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_ayrshire_marr_college_8237832.geojson,MARR COLLEGE,South Ayrshire,8237832,Marr College|KA10 7AB,seed_code
scotland_sn_moray_milne_s_high_school_5202930.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_moray_milne_s_high_school_5202930.geojson,MILNE'S HIGH SCHOOL,Moray,5202930,Milne's High School|IV32 7DJ,seed_code
scotland_sn_west_lothian_deans_community_high_school_5502535.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_west_lothian_deans_community_high_school_5502535.geojson,DEANS COMMUNITY HIGH SCHOOL,West Lothian,5502535,Deans Community High School|EH54 8PS,seed_code
scotland_sn_falkirk_larbert_high_school_5747031.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_falkirk_larbert_high_school_5747031.geojson,LARBERT HIGH SCHOOL,Falkirk,5747031,Larbert High School|FK5 3BL,seed_code
scotland_sn_shetland_islands_whalsay_junior_high_school_25.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_shetland_islands_whalsay_junior_high_school_25.geojson,WHALSAY JUNIOR HIGH SCHOOL,Shetland Islands,,,unmatched
scotland_sn_scottish_borders_eyemouth_high_26.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_scottish_borders_eyemouth_high_26.geojson,EYEMOUTH HIGH,Scottish Borders,,Eyemouth High School|TD14 5LZ,manual_override
scotland_sn_city_of_edinburgh_gracemount_high_school_5532930.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_gracemount_high_school_5532930.geojson,GRACEMOUNT HIGH SCHOOL,City of Edinburgh,5532930,Gracemount High School|EH16 6TZ,seed_code
scotland_sn_falkirk_grangemouth_high_school_5746639.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_falkirk_grangemouth_high_school_5746639.geojson,GRANGEMOUTH HIGH SCHOOL,Falkirk,5746639,Grangemouth High School|FK3 0HW,seed_code
scotland_sn_highland_charleston_academy_5143837.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_charleston_academy_5143837.geojson,CHARLESTON ACADEMY,Highland,5143837,Charleston Academy|IV3 8ET,seed_code
scotland_sn_highland_golspie_high_school_5109531.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_golspie_high_school_5109531.geojson,GOLSPIE HIGH SCHOOL,Highland,5109531,Golspie High School|KW10 6RF,seed_code
scotland_sn_east_ayrshire_grange_academy_8224234.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_ayrshire_grange_academy_8224234.geojson,GRANGE ACADEMY,East Ayrshire,8224234,Grange Academy|KA1 2EW,seed_code
scotland_sn_aberdeenshire_cults_academy_5235839.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_cults_academy_5235839.geojson,CULTS ACADEMY,Aberdeenshire,5235839,Cults Academy|AB15 9TP,seed_code
scotland_sn_falkirk_graeme_high_school_5746132.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_falkirk_graeme_high_school_5746132.geojson,GRAEME HIGH SCHOOL,Falkirk,5746132,Graeme High School|FK1 1SY,seed_code
scotland_sn_renfrewshire_linwood_high_school_8628432.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_renfrewshire_linwood_high_school_8628432.geojson,LINWOOD HIGH SCHOOL,Renfrewshire,8628432,Linwood High School|PA3 3NB,seed_code
scotland_sn_glasgow_city_castlemilk_high_school_8434034.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_glasgow_city_castlemilk_high_school_8434034.geojson,CASTLEMILK HIGH SCHOOL,Glasgow City,8434034,Castlemilk High School|G45 9JY,seed_code
scotland_sn_south_lanarkshire_cathkin_high_school_stonelaw_high_school_36.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_lanarkshire_cathkin_high_school_stonelaw_high_school_36.geojson,"CATHKIN HIGH SCHOOL, STONELAW HIGH SCHOOL",South Lanarkshire,,,unmatched
scotland_sn_dumfries_and_galloway_kirkcudbright_academy_5918731.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dumfries_and_galloway_kirkcudbright_academy_5918731.geojson,KIRKCUDBRIGHT ACADEMY,Dumfries and Galloway,5918731,Kirkcudbright Academy|DG6 4JN,seed_code
scotland_sn_fife_bell_baxter_high_school_5426332.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_fife_bell_baxter_high_school_5426332.geojson,BELL BAXTER HIGH SCHOOL,Fife,5426332,Bell Baxter High School|KY15 4HY,seed_code
scotland_sn_glasgow_city_smithycroft_secondary_school_8437130.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_glasgow_city_smithycroft_secondary_school_8437130.geojson,SMITHYCROFT SECONDARY SCHOOL,Glasgow City,8437130,Smithycroft Secondary School|G33 2QU,seed_code
