geojson_filename,geojson_url,source_school_nam,source_local_auth,source_seed_code,matched_school_key,matched_method
scotland_sn_perth_and_kinross_kinross_high_school_5350530.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_perth_and_kinross_kinross_high_school_5350530.geojson,KINROSS HIGH SCHOOL,Perth and Kinross,5350530,Kinross High School|KY13 8FQ,seed_code
scotland_sn_city_of_edinburgh_firrhill_high_school_5532639.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_firrhill_high_school_5532639.geojson,FIRRHILL HIGH SCHOOL,City of Edinburgh,5532639,Firrhill High School|EH14 1DP,seed_code
scotland_sn_falkirk_braes_high_school_5746531.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_falkirk_braes_high_school_5746531.geojson,BRAES HIGH SCHOOL,Falkirk,5746531,Braes High School|FK2 0DA,seed_code
scotland_sn_dumfries_and_galloway_douglas_ewart_high_school_5902932.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dumfries_and_galloway_douglas_ewart_high_school_5902932.geojson,DOUGLAS EWART HIGH SCHOOL,Dumfries and Galloway,5902932,Douglas Ewart High School|DG8 6JQ,seed_code
scotland_sn_south_lanarkshire_hamilton_grammar_school_8524734.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_lanarkshire_hamilton_grammar_school_8524734.geojson,HAMILTON GRAMMAR SCHOOL,South Lanarkshire,8524734,Hamilton Grammar School|ML3 6PE,seed_code
scotland_sn_falkirk_bo_ness_high_school_80.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_falkirk_bo_ness_high_school_80.geojson,BO'NESS HIGH SCHOOL,Falkirk,,Bo'ness Academy|EH51 9AS,manual_override
scotland_sn_renfrewshire_johnstone_high_school_8628130.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_renfrewshire_johnstone_high_school_8628130.geojson,JOHNSTONE HIGH SCHOOL,Renfrewshire,8628130,Johnstone High School|PA5 0JN,seed_code
scotland_sn_fife_auchmuty_high_school_5406439.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_fife_auchmuty_high_school_5406439.geojson,AUCHMUTY HIGH SCHOOL,Fife,5406439,Auchmuty High School|KY7 5JL,seed_code
scotland_sn_angus_arbroath_high_school_5307139.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_angus_arbroath_high_school_5307139.geojson,ARBROATH HIGH SCHOOL,Angus,5307139,Arbroath High School|DD11 3EN,seed_code
scotland_sn_aberdeenshire_mearns_academy_5252032.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_mearns_academy_5252032.geojson,MEARNS ACADEMY,Aberdeenshire,5252032,Mearns Academy|AB30 1ZJ,seed_code
scotland_sn_angus_baldragon_academy_85.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_angus_baldragon_academy_85.geojson,BALDRAGON ACADEMY,Angus,,Baldragon Academy|DD3 0LF,school_name_only
scotland_sn_scottish_borders_jedburgh_grammar_campus_86.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_scottish_borders_jedburgh_grammar_campus_86.geojson,JEDBURGH GRAMMAR CAMPUS,Scottish Borders,,Jedburgh Grammar School|TD8 6HH,manual_override
scotland_sn_glasgow_city_drumchapel_high_school_8459932.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_glasgow_city_drumchapel_high_school_8459932.geojson,DRUMCHAPEL HIGH SCHOOL,Glasgow City,8459932,Drumchapel High School|G15 7SQ,seed_code
scotland_sn_south_lanarkshire_larkhall_academy_8525234.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_lanarkshire_larkhall_academy_8525234.geojson,LARKHALL ACADEMY,South Lanarkshire,8525234,Larkhall Academy|ML9 1QN,seed_code
scotland_sn_west_lothian_bathgate_academy_5509432.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_west_lothian_bathgate_academy_5509432.geojson,BATHGATE ACADEMY,West Lothian,5509432,Bathgate Academy|EH48 1LF,seed_code
scotland_sn_shetland_islands_brae_junior_high_school_90.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_shetland_islands_brae_junior_high_school_90.geojson,BRAE JUNIOR HIGH SCHOOL,Shetland Islands,,,unmatched
scotland_sn_south_lanarkshire_strathaven_academy_8533830.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_lanarkshire_strathaven_academy_8533830.geojson,STRATHAVEN ACADEMY,South Lanarkshire,8533830,Strathaven Academy|ML10 6DP,seed_code
scotland_sn_aberdeen_city_bridge_of_don_academy_5235634.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeen_city_bridge_of_don_academy_5235634.geojson,BRIDGE OF DON ACADEMY,Aberdeen City,5235634,Bridge Of Don Academy|AB22 8RR,seed_code
scotland_sn_west_dunbartonshire_clydebank_high_school_8314136.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_west_dunbartonshire_clydebank_high_school_8314136.geojson,CLYDEBANK HIGH SCHOOL,West Dunbartonshire,8314136,Clydebank High School|G81 3EJ,seed_code
scotland_sn_south_ayrshire_kyle_academy_8238030.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_ayrshire_kyle_academy_8238030.geojson,KYLE ACADEMY,South Ayrshire,8238030,Kyle Academy|KA7 3LR,seed_code
scotland_sn_aberdeenshire_banff_academy_5213231.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_banff_academy_5213231.geojson,BANFF ACADEMY,Aberdeenshire,5213231,Banff Academy|AB45 1BY,seed_code
scotland_sn_west_lothian_linlithgow_academy_5510236.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_west_lothian_linlithgow_academy_5510236.geojson,LINLITHGOW ACADEMY,West Lothian,5510236,Linlithgow Academy|EH49 6EH,seed_code
scotland_sn_east_ayrshire_doon_academy_8244138.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_ayrshire_doon_academy_8244138.geojson,DOON ACADEMY,East Ayrshire,8244138,Doon Academy|KA6 7SJ,seed_code
scotland_sn_north_lanarkshire_caldervale_high_school_8505632.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_lanarkshire_caldervale_high_school_8505632.geojson,CALDERVALE HIGH SCHOOL,North Lanarkshire,8505632,Caldervale High School|ML6 8PG,seed_code
scotland_sn_east_dunbartonshire_bearsden_academy_8325634.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_dunbartonshire_bearsden_academy_8325634.geojson,BEARSDEN ACADEMY,East Dunbartonshire,8325634,Bearsden Academy|G61 3AX,seed_code
scotland_sn_highland_mallaig_high_school_5135834.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_mallaig_high_school_5135834.geojson,MALLAIG HIGH SCHOOL,Highland,5135834,Mallaig High School|PH41 4RG,seed_code
scotland_sn_aberdeenshire_banchory_academy_5251834.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_banchory_academy_5251834.geojson,BANCHORY ACADEMY,Aberdeenshire,5251834,Banchory Academy|AB31 5UJ,seed_code
scotland_sn_dumfries_and_galloway_north_west_community_campus_dumfries_academy_102.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dumfries_and_galloway_north_west_community_campus_dumfries_academy_102.geojson,NORTH WEST COMMUNITY CAMPUS/ DUMFRIES ACADEMY,Dumfries and Galloway,,,unmatched
scotland_sn_south_lanarkshire_carluke_high_school_8549931.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_lanarkshire_carluke_high_school_8549931.geojson,CARLUKE HIGH SCHOOL,South Lanarkshire,8549931,Carluke High School|ML8 4EA,seed_code
scotland_sn_north_lanarkshire_coatbridge_high_school_8506132.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_lanarkshire_coatbridge_high_school_8506132.geojson,COATBRIDGE HIGH SCHOOL,North Lanarkshire,8506132,Coatbridge High School|ML5 3NP,seed_code
scotland_sn_fife_woodmill_high_school_5446430.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_fife_woodmill_high_school_5446430.geojson,WOODMILL HIGH SCHOOL,Fife,5446430,Woodmill High School|KY11 4ER,seed_code
scotland_sn_east_lothian_knox_academy_5555930.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_lothian_knox_academy_5555930.geojson,KNOX ACADEMY,East Lothian,5555930,Knox Academy|EH41 4DT,seed_code
scotland_sn_highland_thurso_high_school_5102030.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_thurso_high_school_5102030.geojson,THURSO HIGH SCHOOL,Highland,5102030,Thurso High School|KW14 7DS,seed_code
scotland_sn_scottish_borders_hawick_high_108.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_scottish_borders_hawick_high_108.geojson,HAWICK HIGH,Scottish Borders,,Hawick High School|TD9 0EG,manual_override
scotland_sn_inverclyde_inverclyde_academy_8640033.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_inverclyde_inverclyde_academy_8640033.geojson,INVERCLYDE ACADEMY,Inverclyde,8640033,Inverclyde Academy|PA16 0FB,seed_code
scotland_sn_north_lanarkshire_uddingston_grammar_school_8525331.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_lanarkshire_uddingston_grammar_school_8525331.geojson,UDDINGSTON GRAMMAR SCHOOL,North Lanarkshire,8525331,Uddingston Grammar School|G71 7BT,seed_code
scotland_sn_east_renfrewshire_woodfarm_high_school_8601836.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_renfrewshire_woodfarm_high_school_8601836.geojson,WOODFARM HIGH SCHOOL,East Renfrewshire,8601836,Woodfarm High School|G46 7HG,seed_code
scotland_sn_glasgow_city_eastbank_academy_8433232.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_glasgow_city_eastbank_academy_8433232.geojson,EASTBANK ACADEMY,Glasgow City,8433232,Eastbank Academy|G32 9AA,seed_code
scotland_sn_moray_elgin_high_school_5210038.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_moray_elgin_high_school_5210038.geojson,ELGIN HIGH SCHOOL,Moray,5210038,Elgin High School|IV30 6UD,seed_code
scotland_sn_dumfries_and_galloway_langholm_academy_5948533.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dumfries_and_galloway_langholm_academy_5948533.geojson,LANGHOLM ACADEMY,Dumfries and Galloway,5948533,Langholm Academy|DG13 0BL,seed_code
scotland_sn_fife_lochgelly_high_school_5447437.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_fife_lochgelly_high_school_5447437.geojson,LOCHGELLY HIGH SCHOOL,Fife,5447437,Lochgelly High School|KY5 8LZ,seed_code
scotland_sn_dumfries_and_galloway_stranraer_academy_5903130.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dumfries_and_galloway_stranraer_academy_5903130.geojson,STRANRAER ACADEMY,Dumfries and Galloway,5903130,Stranraer Academy|DG9 8BY,seed_code
scotland_sn_north_ayrshire_largs_academy_8215839.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_ayrshire_largs_academy_8215839.geojson,LARGS ACADEMY,North Ayrshire,8215839,Largs Academy|KA30 9DR,seed_code
scotland_sn_moray_speyside_high_school_5208939.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_moray_speyside_high_school_5208939.geojson,SPEYSIDE HIGH SCHOOL,Moray,5208939,Speyside High School|AB38 9QU,seed_code
scotland_sn_glasgow_city_bellahouston_academy_8432031.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_glasgow_city_bellahouston_academy_8432031.geojson,BELLAHOUSTON ACADEMY,Glasgow City,8432031,Bellahouston Academy|G41 5QE,seed_code
scotland_sn_city_of_edinburgh_james_gillespie_s_high_school_5533139.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_james_gillespie_s_high_school_5533139.geojson,JAMES GILLESPIE'S HIGH SCHOOL,City of Edinburgh,5533139,James Gillespie's High School|EH9 1DD,seed_code
scotland_sn_na_h_eileanan_an_iar_castlebay_community_school_6203132.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_na_h_eileanan_an_iar_castlebay_community_school_6203132.geojson,CASTLEBAY COMMUNITY SCHOOL,Na h-Eileanan an Iar,6203132,Castlebay School|HS9 5XD,seed_code
scotland_sn_west_lothian_west_calder_high_school_5502330.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_west_lothian_west_calder_high_school_5502330.geojson,WEST CALDER HIGH SCHOOL,West Lothian,5502330,West Calder High School|EH55 8BF,seed_code
scotland_sn_perth_and_kinross_perth_high_school_or_perth_academy_123.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_perth_and_kinross_perth_high_school_or_perth_academy_123.geojson,PERTH HIGH SCHOOL OR PERTH ACADEMY,Perth and Kinross,,,unmatched
scotland_sn_perth_and_kinross_breadalbane_academy_or_perth_grammar_school_124.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_perth_and_kinross_breadalbane_academy_or_perth_grammar_school_124.geojson,BREADALBANE ACADEMY OR PERTH GRAMMAR SCHOOL,Perth and Kinross,,,unmatched
scotland_sn_highland_ardnamurchan_high_school_5130239.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_ardnamurchan_high_school_5130239.geojson,ARDNAMURCHAN HIGH SCHOOL,Highland,5130239,Ardnamurchan High School|PH36 4JA,seed_code
scotland_sn_aberdeen_city_countesswells_secondary_zone_a_interim_provision_at_bucksburn_academy_126.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeen_city_countesswells_secondary_zone_a_interim_provision_at_bucksburn_academy_126.geojson,COUNTESSWELLS SECONDARY ZONE A. INTERIM PROVISION AT BUCKSBURN ACADEMY,Aberdeen City,,,unmatched
scotland_sn_aberdeenshire_the_gordon_schools_5231434.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_the_gordon_schools_5231434.geojson,THE GORDON SCHOOLS,Aberdeenshire,5231434,The Gordon Schools|AB54 4SE,seed_code
scotland_sn_moray_elgin_academy_5202736.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_moray_elgin_academy_5202736.geojson,ELGIN ACADEMY,Moray,5202736,Elgin Academy|IV30 4ND,seed_code
scotland_sn_glasgow_city_springburn_academy_8431639.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_glasgow_city_springburn_academy_8431639.geojson,SPRINGBURN ACADEMY,Glasgow City,8431639,Springburn Academy|G21 4JL,seed_code
scotland_sn_city_of_edinburgh_portobello_high_school_5533538.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_portobello_high_school_5533538.geojson,PORTOBELLO HIGH SCHOOL,City of Edinburgh,5533538,Portobello High School|EH15 3BY,seed_code
scotland_sn_midlothian_beeslack_community_high_school_5547938.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_midlothian_beeslack_community_high_school_5547938.geojson,BEESLACK COMMUNITY HIGH SCHOOL,Midlothian,5547938,Beeslack Community High School|EH26 0QF,seed_code
scotland_sn_city_of_edinburgh_castlebrae_high_school_132.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_castlebrae_high_school_132.geojson,CASTLEBRAE HIGH SCHOOL,City of Edinburgh,,Castlebrae Community High School|EH16 4DT,manual_override
scotland_sn_stirling_stirling_high_school_5726239.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_stirling_stirling_high_school_5726239.geojson,STIRLING HIGH SCHOOL,Stirling,5726239,Stirling High School|FK8 2PA,seed_code
scotland_sn_highland_millburn_academy_5142830.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_millburn_academy_5142830.geojson,MILLBURN ACADEMY,Highland,5142830,Millburn Academy|IV2 3QR,seed_code
scotland_sn_north_lanarkshire_greenfaulds_high_school_8357331.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_lanarkshire_greenfaulds_high_school_8357331.geojson,GREENFAULDS HIGH SCHOOL,North Lanarkshire,8357331,Greenfaulds High School|G67 4AQ,seed_code
scotland_sn_fife_levenmouth_academy_1003232.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_fife_levenmouth_academy_1003232.geojson,LEVENMOUTH ACADEMY,Fife,1003232,Levenmouth Academy|KY8 1HL,seed_code
scotland_sn_east_renfrewshire_williamwood_high_school_8602034.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_renfrewshire_williamwood_high_school_8602034.geojson,WILLIAMWOOD HIGH SCHOOL,East Renfrewshire,8602034,Williamwood High School|G76 8RF,seed_code
scotland_sn_east_lothian_musselburgh_grammar_wef_aug_23_138.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_lothian_musselburgh_grammar_wef_aug_23_138.geojson,MUSSELBURGH GRAMMAR WEF AUG 23,East Lothian,,Musselburgh Grammar School|EH21 7BA,manual_override
scotland_sn_clackmannanshire_lornshill_academy_5702631.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_clackmannanshire_lornshill_academy_5702631.geojson,LORNSHILL ACADEMY,Clackmannanshire,5702631,Lornshill Academy|FK10 2ES,seed_code
scotland_sn_north_lanarkshire_coltness_high_school_8517738.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_lanarkshire_coltness_high_school_8517738.geojson,COLTNESS HIGH SCHOOL,North Lanarkshire,8517738,Coltness High School|ML2 8NA,seed_code
scotland_sn_aberdeen_city_aberdeen_grammar_school_5244439.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeen_city_aberdeen_grammar_school_5244439.geojson,ABERDEEN GRAMMAR SCHOOL,Aberdeen City,5244439,Aberdeen Grammar School|AB10 1HT,seed_code
scotland_sn_scottish_borders_berwickshire_high_142.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_scottish_borders_berwickshire_high_142.geojson,BERWICKSHIRE HIGH,Scottish Borders,,Berwickshire High School|TD11 3QG,school_name_and_la
scotland_sn_highland_gairloch_high_school_5119030.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_gairloch_high_school_5119030.geojson,GAIRLOCH HIGH SCHOOL,Highland,5119030,Gairloch High School|IV21 2BP,seed_code
scotland_sn_east_ayrshire_kilmarnock_academy_1004522.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_ayrshire_kilmarnock_academy_1004522.geojson,KILMARNOCK ACADEMY,East Ayrshire,1004522,Kilmarnock Academy|KA3 7DF,seed_code
scotland_sn_east_lothian_dunbar_grammar_145.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_lothian_dunbar_grammar_145.geojson,DUNBAR GRAMMAR,East Lothian,,Dunbar Grammar School|EH42 1NJ,manual_override
scotland_sn_aberdeen_city_st_machar_academy_5246431.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeen_city_st_machar_academy_5246431.geojson,ST MACHAR ACADEMY,Aberdeen City,5246431,St Machar Academy|AB24 3YZ,seed_code
scotland_sn_highland_portree_high_school_5128234.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_portree_high_school_5128234.geojson,PORTREE HIGH SCHOOL,Highland,5128234,Portree High School|IV51 9ET,seed_code
scotland_sn_perth_and_kinross_pitlochry_high_school_5351332.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_perth_and_kinross_pitlochry_high_school_5351332.geojson,PITLOCHRY HIGH SCHOOL,Perth and Kinross,5351332,Pitlochry High School|PH16 5ET,seed_code
scotland_sn_east_ayrshire_stewarton_academy_8224730.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_ayrshire_stewarton_academy_8224730.geojson,STEWARTON ACADEMY,East Ayrshire,8224730,Stewarton Academy|KA3 5QF,seed_code
scotland_sn_perth_and_kinross_perth_high_school_5351030.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_perth_and_kinross_perth_high_school_5351030.geojson,PERTH HIGH SCHOOL,Perth and Kinross,5351030,Perth High School|PH1 1HB,seed_code
scotland_sn_dumfries_and_galloway_castle_douglas_high_school_5918030.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dumfries_and_galloway_castle_douglas_high_school_5918030.geojson,CASTLE DOUGLAS HIGH SCHOOL,Dumfries and Galloway,5918030,Castle Douglas High School|DG7 1LQ,seed_code
scotland_sn_dumfries_and_galloway_dumfries_high_school_5939232.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dumfries_and_galloway_dumfries_high_school_5939232.geojson,DUMFRIES HIGH SCHOOL,Dumfries and Galloway,5939232,Dumfries High School|DG1 1PX,seed_code
scotland_sn_glasgow_city_hillhead_high_school_8434239.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_glasgow_city_hillhead_high_school_8434239.geojson,HILLHEAD HIGH SCHOOL,Glasgow City,8434239,Hillhead High School|G12 8LJ,seed_code
scotland_sn_east_ayrshire_carrick_academy_south_ayrshire_154.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_ayrshire_carrick_academy_south_ayrshire_154.geojson,CARRICK ACADEMY (SOUTH AYRSHIRE),East Ayrshire,,,unmatched
scotland_sn_argyll_and_bute_tobermory_high_school_8110638.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_argyll_and_bute_tobermory_high_school_8110638.geojson,TOBERMORY HIGH SCHOOL,Argyll and Bute,8110638,Tobermory High School|PA75 6PB,seed_code
